,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-1.0,2440808418.0,2504126898.0,2998347798.0,3180738950.0,322204783.0,322526123.0,7.239075256077189e+17,7.27385453553406e+17,7.655789406351606e+17,8.84092131190612e+17,8.923646005529395e+17,8.935062087406428e+17,8.951663498818232e+17,8.977020455448535e+17,9.130601713660232e+17,9.36532885821182e+17,9.378316829623747e+17,956762293.0
1,2440808418.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2,2504126898.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2998347798.0,1.0,0.0,0.0,176.0,65.0,11.0,50.0,69.0,163.0,6.0,1.0,1.0,0.0,8.0,222.0,23.0,0.0,6.0
4,3180738950.0,1.0,3.0,176.0,0.0,49.0,15.0,50.0,36.0,120.0,8.0,2.0,0.0,0.0,7.0,99.0,17.0,0.0,3.0
5,322204783.0,1.0,13.0,65.0,49.0,0.0,7.0,24.0,41.0,59.0,10.0,6.0,7.0,6.0,7.0,50.0,35.0,0.0,7.0
6,322526123.0,1.0,0.0,11.0,15.0,7.0,0.0,12.0,7.0,4.0,4.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,3.0
7,7.239075256077189e+17,1.0,0.0,50.0,50.0,24.0,12.0,0.0,22.0,28.0,7.0,1.0,0.0,0.0,8.0,36.0,15.0,0.0,3.0
8,7.27385453553406e+17,1.0,0.0,69.0,36.0,41.0,7.0,22.0,0.0,61.0,10.0,0.0,0.0,0.0,10.0,40.0,21.0,0.0,3.0
9,7.655789406351606e+17,1.0,0.0,163.0,120.0,59.0,4.0,28.0,61.0,0.0,6.0,0.0,0.0,0.0,9.0,116.0,26.0,0.0,1.0
10,8.84092131190612e+17,1.0,0.0,6.0,8.0,10.0,4.0,7.0,10.0,6.0,0.0,0.0,0.0,1.0,5.0,9.0,6.0,0.0,1.0
11,8.923646005529395e+17,0.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,19.0,0.0,1.0,0.0,0.0,15.0
12,8.935062087406428e+17,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0
13,8.951663498818232e+17,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,49.0
14,8.977020455448535e+17,1.0,0.0,8.0,7.0,7.0,3.0,8.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0
15,9.130601713660232e+17,1.0,0.0,222.0,99.0,50.0,8.0,36.0,40.0,116.0,9.0,1.0,0.0,0.0,6.0,0.0,18.0,0.0,3.0
16,9.36532885821182e+17,1.0,0.0,23.0,17.0,35.0,4.0,15.0,21.0,26.0,6.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,1.0
17,9.378316829623747e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,956762293.0,1.0,0.0,6.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,15.0,9.0,49.0,1.0,3.0,1.0,0.0,0.0
