,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,-1.0,58649685.0,85878730.0,204765775.0,210824047.0,238169051.0,239055443.0,243810413.0,247022327.0,247494866.0,271831962.0,279573378.0,280881691.0,289974673.0,314048797.0,314773344.0,316144548.0,316498406.0
1,58649685.0,0.0,5.0,26.0,7.0,36.0,0.0,4.0,19.0,9.0,8.0,8.0,0.0,12.0,0.0,0.0,2.0,0.0
2,85878730.0,5.0,0.0,23.0,13.0,6.0,0.0,21.0,2.0,4.0,7.0,2.0,26.0,10.0,0.0,0.0,1.0,0.0
3,204765775.0,26.0,23.0,0.0,31.0,70.0,1.0,33.0,17.0,11.0,34.0,41.0,26.0,90.0,0.0,1.0,5.0,1.0
4,210824047.0,7.0,13.0,31.0,0.0,18.0,1.0,14.0,10.0,15.0,7.0,17.0,20.0,31.0,0.0,1.0,1.0,1.0
5,238169051.0,36.0,6.0,70.0,18.0,0.0,22.0,21.0,25.0,20.0,18.0,34.0,4.0,36.0,0.0,0.0,6.0,0.0
6,239055443.0,0.0,0.0,1.0,1.0,22.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,243810413.0,4.0,21.0,33.0,14.0,21.0,0.0,0.0,1.0,5.0,13.0,5.0,45.0,17.0,0.0,0.0,0.0,0.0
8,247022327.0,19.0,2.0,17.0,10.0,25.0,1.0,1.0,0.0,4.0,7.0,11.0,1.0,13.0,0.0,0.0,1.0,0.0
9,247494866.0,9.0,4.0,11.0,15.0,20.0,3.0,5.0,4.0,0.0,2.0,2.0,6.0,9.0,0.0,1.0,3.0,0.0
10,271831962.0,8.0,7.0,34.0,7.0,18.0,1.0,13.0,7.0,2.0,0.0,9.0,14.0,22.0,0.0,0.0,3.0,0.0
11,279573378.0,8.0,2.0,41.0,17.0,34.0,0.0,5.0,11.0,2.0,9.0,0.0,5.0,41.0,0.0,0.0,3.0,0.0
12,280881691.0,0.0,26.0,26.0,20.0,4.0,1.0,45.0,1.0,6.0,14.0,5.0,0.0,22.0,0.0,0.0,1.0,0.0
13,289974673.0,12.0,10.0,90.0,31.0,36.0,1.0,17.0,13.0,9.0,22.0,41.0,22.0,0.0,0.0,1.0,5.0,1.0
14,314048797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,314773344.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,316144548.0,2.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0
17,316498406.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
